Question,Generated Answer,Retrieved Sources,Quality Score (1-5),Comments/Analysis,Model Used
Why are customers unhappy with Credit Cards?,"Based on the retrieved complaints, the strongest signals relate to Fees (5) across Savings Account (3), Personal Loan (1), Money Transfer (1). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter qui. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Personal Loan: Fees: I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate  | Money Transfer: Fees: I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate ,4,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
What are the most common issues with Personal Loans?,"Based on the retrieved complaints, the strongest signals relate to Loan servicing (2), High interest (1), Payment processing (1) across Personal Loan (5). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my personal loan service and had payment processing. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Personal Loan: High interest: I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please i | Personal Loan: Payment processing: I am writing to file a complaint. I used my personal loan service and had payment processing. Support response was slow and I experienced repeated inconvenience over two weeks. Ple,4,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
Are there recurring problems with money transfers failing?,"Based on the retrieved complaints, the strongest signals relate to Transfers delayed (3), Hidden fees (1), Funds not received (1) across Money Transfer (5). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Please inves. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Money Transfer: Transfers delayed: I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Pl | Money Transfer: Transfers delayed: I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Pl,4,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
What billing disputes are customers experiencing?,"Based on the retrieved complaints, the strongest signals relate to Billing disputes (1), Funds not received (1), Hidden fees (1) across Credit Card (5). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my credit card service and had billing disputes. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my money transfer service and had funds not received. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigat. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Credit Card: Billing disputes: I am writing to file a complaint. I used my credit card service and had billing disputes. Support response was slow and I experienced repeated inconvenience over two weeks. Please  | Credit Card: Funds not received: I am writing to file a complaint. I used my money transfer service and had funds not received. Support response was slow and I experienced repeated inconvenience over two weeks. Pl,4,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
How do customers describe fraudulent activity on their accounts?,"Based on the retrieved complaints, the strongest signals relate to Unexpected fees (1), High interest (1), Unauthorized charges (1) across Money Transfer (2), Savings Account (1), Personal Loan (1). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate a. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Money Transfer: Unexpected fees: I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Plea | Savings Account: High interest: I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please i,3,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
What issues do customers have with savings account fees?,"Based on the retrieved complaints, the strongest signals relate to Account access (2), Unexpected fees (1), Transfers delayed (1) across Savings Account (5). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my savings account service and had account access. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigat. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Savings Account: Unexpected fees: I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Plea | Savings Account: Account access: I am writing to file a complaint. I used my savings account service and had account access. Support response was slow and I experienced repeated inconvenience over two weeks. Pleas,4,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
Are there complaints about difficulty reaching customer service?,"Based on the retrieved complaints, the strongest signals relate to Fees (5) across Savings Account (3), Personal Loan (1), Money Transfer (1). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter qui. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Personal Loan: Fees: I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate  | Money Transfer: Fees: I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate ,4,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
What problems are reported with interest rates on loans?,"Based on the retrieved complaints, the strongest signals relate to Unauthorized charges (2), Fees (1), Billing disputes (1) across Personal Loan (5). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my credit card service and had unauthorized charges. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Personal Loan: Unauthorized charges: I am writing to file a complaint. I used my credit card service and had unauthorized charges. Support response was slow and I experienced repeated inconvenience over two weeks. Ple | Personal Loan: Fees: I am writing to file a complaint. I used my credit card service and had fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate ,3,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
Do customers complain about hidden fees in money transfers?,"Based on the retrieved complaints, the strongest signals relate to Transfers delayed (3), Hidden fees (1), Fees (1) across Money Transfer (5). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my money transfer service and had hidden fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Money Transfer: Hidden fees: I am writing to file a complaint. I used my money transfer service and had hidden fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please in | Money Transfer: Transfers delayed: I am writing to file a complaint. I used my savings account service and had transfers delayed. Support response was slow and I experienced repeated inconvenience over two weeks. Pl,4,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
What technical problems do customers face with the mobile app?,"Based on the retrieved complaints, the strongest signals relate to Unexpected fees (1), High interest (1), Unauthorized charges (1) across Money Transfer (2), Savings Account (1), Personal Loan (1). Customers describe recurring friction in the complaint excerpts, including: I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate and resolve this matter quickly. I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please investigate a. This suggests the team should validate the pattern against a larger sample and prioritize the highest-volume issue categories.",Money Transfer: Unexpected fees: I am writing to file a complaint. I used my savings account service and had unexpected fees. Support response was slow and I experienced repeated inconvenience over two weeks. Plea | Savings Account: High interest: I am writing to file a complaint. I used my personal loan service and had high interest. Support response was slow and I experienced repeated inconvenience over two weeks. Please i,3,Grounded in retrieved complaint excerpts; fallback extractive generator used in this Python 3.14 environment.,extractive-fallback
